ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,active_contract,list_date,delist_date,delivery_month,continuous_price
JD1901.DCE,2019-01-02,4262.0,4277.0,4270.0,4285.0,4200.0,4260.0,4245.0,-17.0,-32.0,1156.0,4908.13,1162.0,-576.0,JD1901.DCE,2018-01-29,2019-01-28,2019-01-01,4260.0
JD1902.DCE,2019-01-02,3578.0,3574.0,3580.0,3585.0,3548.0,3556.0,3565.0,-18.0,-9.0,822.0,2930.77,3210.0,182.0,JD1902.DCE,2018-02-26,2019-02-25,2019-02-01,3556.0
JD1903.DCE,2019-01-02,3457.0,3451.0,3442.0,3460.0,3420.0,3423.0,3427.0,-28.0,-24.0,508.0,1741.09,2628.0,8.0,JD1903.DCE,2018-03-28,2019-03-26,2019-03-01,3423.0
JD1904.DCE,2019-01-02,3469.0,3452.0,3460.0,3460.0,3401.0,3401.0,3425.0,-51.0,-27.0,102.0,349.37,426.0,30.0,JD1904.DCE,2018-04-25,2019-04-25,2019-04-01,3401.0
JD1905.DCE,2019-01-02,3478.0,3473.0,3460.0,3474.0,3396.0,3404.0,3426.0,-69.0,-47.0,156680.0,536932.93,146544.0,24460.0,JD1905.DCE,2018-05-29,2019-05-28,2019-05-01,3404.0
JD1906.DCE,2019-01-02,3459.0,3450.0,3454.0,3454.0,3396.0,3399.0,3416.0,-51.0,-34.0,108.0,368.98,716.0,54.0,JD1906.DCE,2018-06-27,2019-06-25,2019-06-01,3399.0
JD1907.DCE,2019-01-02,3539.0,3533.0,3535.0,3540.0,3518.0,3534.0,3527.0,1.0,-6.0,1658.0,5849.3,11846.0,-64.0,JD1907.DCE,2018-07-27,2019-07-26,2019-07-01,3534.0
JD1908.DCE,2019-01-02,4136.0,4136.0,4135.0,4135.0,4124.0,4128.0,4127.0,-8.0,-9.0,174.0,718.17,7384.0,6.0,JD1908.DCE,2018-08-29,2019-08-27,2019-08-01,4128.0
JD1909.DCE,2019-01-02,3941.0,3935.0,3939.0,3944.0,3920.0,3930.0,3930.0,-5.0,-5.0,4484.0,17624.65,17354.0,90.0,JD1909.DCE,2018-09-26,2019-09-25,2019-09-01,3930.0
JD1910.DCE,2019-01-02,3590.0,3591.0,3590.0,3605.0,3590.0,3593.0,3598.0,2.0,7.0,64.0,230.33,596.0,40.0,JD1910.DCE,2018-10-29,2019-10-28,2019-10-01,3593.0
JD1911.DCE,2019-01-02,3588.0,3591.0,3595.0,3595.0,3585.0,3585.0,3588.0,-6.0,-3.0,12.0,43.06,48.0,6.0,JD1911.DCE,2018-11-28,2019-11-26,2019-11-01,3585.0
JD1912.DCE,2019-01-02,3735.0,3735.0,3709.0,3709.0,3702.0,3702.0,3707.0,-33.0,-28.0,16.0,59.32,34.0,14.0,JD1912.DCE,2018-12-26,2019-12-26,2019-12-01,3702.0
JD1901.DCE,2019-01-03,4260.0,4245.0,4264.0,4286.0,4264.0,4281.0,4281.0,36.0,36.0,24.0,102.76,1144.0,-18.0,JD1901.DCE,2018-01-29,2019-01-28,2019-01-01,4281.0
