trade_date,ts_code,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,active_contract,list_date,delist_date,delivery_month,continuous_price,months_to_delivery
2019-01-02,JD1902.DCE,3578.0,3574.0,3580.0,3585.0,3548.0,3556.0,3565.0,-18.0,-9.0,822.0,2930.77,3210.0,182.0,JD1902.DCE,2018-02-26,2019-02-25,2019-02-01,3556.0,1
2019-01-03,JD1902.DCE,3556.0,3565.0,3560.0,3580.0,3553.0,3553.0,3567.0,-12.0,2.0,396.0,1412.68,3088.0,-122.0,JD1902.DCE,2018-02-26,2019-02-25,2019-02-01,3553.0,1
2019-01-04,JD1902.DCE,3553.0,3567.0,3565.0,3610.0,3565.0,3600.0,3596.0,33.0,29.0,1342.0,4825.98,3018.0,-70.0,JD1902.DCE,2018-02-26,2019-02-25,2019-02-01,3600.0,1
2019-01-07,JD1902.DCE,3600.0,3596.0,3610.0,3650.0,3601.0,3645.0,3633.0,49.0,37.0,1268.0,4607.06,3212.0,194.0,JD1902.DCE,2018-02-26,2019-02-25,2019-02-01,3645.0,1
2019-01-08,JD1902.DCE,3645.0,3633.0,3645.0,3655.0,3621.0,3633.0,3645.0,0.0,12.0,822.0,2996.6,3146.0,-66.0,JD1902.DCE,2018-02-26,2019-02-25,2019-02-01,3633.0,1
2019-01-09,JD1902.DCE,3633.0,3645.0,3633.0,3640.0,3608.0,3635.0,3630.0,-10.0,-15.0,526.0,1909.73,3108.0,-38.0,JD1902.DCE,2018-02-26,2019-02-25,2019-02-01,3635.0,1
2019-01-10,JD1902.DCE,3635.0,3630.0,3613.0,3647.0,3613.0,3644.0,3637.0,14.0,7.0,344.0,1251.27,3056.0,-52.0,JD1902.DCE,2018-02-26,2019-02-25,2019-02-01,3644.0,1
2019-01-11,JD1902.DCE,3644.0,3637.0,3639.0,3655.0,3624.0,3637.0,3635.0,0.0,-2.0,504.0,1832.41,3002.0,-54.0,JD1902.DCE,2018-02-26,2019-02-25,2019-02-01,3637.0,1
2019-01-14,JD1902.DCE,3637.0,3635.0,3649.0,3649.0,3582.0,3616.0,3613.0,-19.0,-22.0,764.0,2760.69,2806.0,-196.0,JD1902.DCE,2018-02-26,2019-02-25,2019-02-01,3616.0,1
2019-01-15,JD1902.DCE,3616.0,3613.0,3608.0,3619.0,3601.0,3608.0,3609.0,-5.0,-4.0,238.0,859.17,2754.0,-52.0,JD1902.DCE,2018-02-26,2019-02-25,2019-02-01,3608.0,1
2019-01-16,JD1902.DCE,3608.0,3609.0,3607.0,3607.0,3583.0,3584.0,3590.0,-25.0,-19.0,278.0,998.02,2716.0,-38.0,JD1902.DCE,2018-02-26,2019-02-25,2019-02-01,3584.0,1
2019-01-17,JD1902.DCE,3584.0,3590.0,3578.0,3595.0,3578.0,3588.0,3588.0,-2.0,-2.0,118.0,423.39,2688.0,-28.0,JD1902.DCE,2018-02-26,2019-02-25,2019-02-01,3588.0,1
