指标名称,鸡蛋：期现价差：中国（日）,蛋鸡鸡苗：商品代：销量：中国（月）,蛋鸡：产蛋率：中国（周）,蛋鸡：空栏率：中国（月）,主产蛋鸡：存栏数占比（月）,后备蛋鸡：存栏数占比（月）,待淘蛋鸡：存栏数占比（月）,蛋鸡：存栏数：中国（月）,老母鸡：出栏数：中国（月）,老母鸡：平均出栏日龄：中国（周）,鸡蛋：发货量（周）,鸡蛋：销量：中国（月）,蛋鸡：综合养殖成本（日）,蛋鸡：综合养殖盈利（日）,鸡蛋：单斤成本（日）,蛋料比：中国（日）,鸡蛋：生产环节：库存可用天数：中国（日）,鸡蛋：流通环节：库存可用天数：中国（日）
2026-05-29,682,-,91.51,-,-,-,-,-,-,513,6156.6,-,133.67,71.25,3.51,3.63,0.6,0.73
2026-05-28,691,-,-,-,-,-,-,-,-,-,-,-,133.63,58.05,3.51,3.41,0.74,0.85
2026-05-27,548,-,-,-,-,-,-,-,-,-,-,-,133.63,58.05,3.51,3.41,0.74,0.87
2026-05-26,590,-,-,-,-,-,-,-,-,-,-,-,133.63,58.05,3.51,3.41,0.74,0.87
2026-05-25,696,-,-,-,-,-,-,-,-,-,-,-,133.83,58.13,3.51,3.41,0.74,0.87
2026-05-24,-,-,-,-,-,-,-,-,-,-,-,-,133.83,58.49,3.51,3.42,0.6,0.82
2026-05-23,-,-,-,-,-,-,-,-,-,-,-,-,133.81,57.99,3.51,3.41,0.58,0.79
2026-05-22,500,-,91.51,-,-,-,-,-,-,510,5953.6,-,133.81,55.31,3.51,3.36,0.55,0.79
2026-05-21,465,-,-,-,-,-,-,-,-,-,-,-,134.11,51.73,3.52,3.28,0.55,0.87
2026-05-20,469,-,-,-,-,-,-,-,-,-,-,-,134.21,50.55,3.52,3.26,0.53,0.95
2026-05-19,609,-,-,-,-,-,-,-,-,-,-,-,134.27,50.49,3.53,3.26,0.71,0.95
2026-05-18,631,-,-,-,-,-,-,-,-,-,-,-,134.05,52.87,3.52,3.31,0.71,0.95
2026-05-17,-,-,-,-,-,-,-,-,-,-,-,-,134.05,52.83,3.52,3.31,0.61,0.9
2026-05-16,-,-,-,-,-,-,-,-,-,-,-,-,134.17,49.99,3.52,3.25,0.56,0.85
2026-05-15,553,-,91.51,-,-,-,-,-,-,509,6079.8,-,134.17,48.07,3.52,3.21,0.69,0.9
2026-05-14,673,-,-,-,-,-,-,-,-,-,-,-,134.55,46.97,3.53,3.19,0.69,0.94
2026-05-13,794,-,-,-,-,-,-,-,-,-,-,-,134.62,49.7,3.54,3.25,0.56,0.76
2026-05-12,736,-,-,-,-,-,-,-,-,-,-,-,134.52,49.72,3.53,3.25,0.56,0.76
2026-05-11,784,-,-,-,-,-,-,-,-,-,-,-,134.53,49.55,3.53,3.25,0.56,0.76
2026-05-10,-,-,-,-,-,-,-,-,-,-,-,-,134.48,45.72,3.53,3.18,0.56,0.76
2026-05-09,-,-,-,-,-,-,-,-,-,-,-,-,134.41,40.59,3.53,3.1,0.56,0.76
2026-05-08,649,-,91.8,-,-,-,-,-,-,504,5973.6,-,134.49,37.43,3.53,3.03,0.68,0.89
2026-05-07,640,-,-,-,-,-,-,-,-,-,-,-,134.73,36.79,3.54,3.02,0.73,0.9
