feature,feature_group,selected_months,avg_abs_train_corr,avg_selected_rank,selected_frequency,expression_model
laying_hen_stock_model_zscore,supply_pressure,91,0.2241889128140972,1.7252747252747254,1.0,single_leg
flow_inventory_days_model_zscore,inventory,76,0.0951123926977647,6.2105263157894735,0.8351648351648352,single_leg
empty_house_rate_model_zscore,capacity_gap,75,0.2330190246860499,1.653333333333333,0.8241758241758241,single_leg
winter_laying_stress_model_zscore,weather_laying_cycle,72,0.156528300291641,3.638888888888889,0.7912087912087912,single_leg
factor_real_demand_model_zscore,real_demand,66,0.1151411866041711,5.696969696969697,0.7252747252747253,single_leg
post_holiday_demand_lull_model_zscore,seasonal_demand_calendar,59,0.1469805745574638,3.4915254237288136,0.6483516483516484,single_leg
basis_raw_model_zscore,near_far_strength,46,0.0761174627297892,7.282608695652174,0.5054945054945055,single_leg
factor_cost_support_model_zscore,cost_support,40,0.0996475847902569,6.0,0.4395604395604395,single_leg
factor_seasonal_demand_calendar_model_zscore,seasonal_demand_calendar,32,0.1760087473296284,3.0,0.3516483516483517,single_leg
feed_egg_ratio_model_zscore,profit_supply_response,31,0.1179158577603372,6.612903225806452,0.3406593406593406,single_leg
egg_sales_model_zscore,real_demand,25,0.1047143343077549,6.08,0.2747252747252747,single_leg
pullet_share_model_zscore,forward_supply,20,0.1267481617339441,7.05,0.2197802197802197,single_leg
factor_weather_laying_cycle_model_zscore,weather_laying_cycle,19,0.1548067942947056,3.3684210526315788,0.2087912087912088,single_leg
breeding_cost_model_zscore,cost_support,19,0.0880808953153338,6.421052631578948,0.2087912087912088,single_leg
factor_capacity_gap_model_zscore,capacity_gap,16,0.228560170277657,1.625,0.1758241758241758,single_leg
factor_profit_supply_response_model_zscore,profit_supply_response,11,0.0848997329626665,6.363636363636363,0.1208791208791208,single_leg
factor_near_far_strength_model_zscore,near_far_strength,10,0.0698687997711388,7.7,0.1098901098901098,single_leg
factor_elimination_model_zscore,elimination,8,0.1121484538883296,8.0,0.0879120879120879,single_leg
factor_forward_supply_model_zscore,forward_supply,7,0.1297759899892122,6.857142857142857,0.0769230769230769,single_leg
culled_hen_output_model_zscore,elimination,3,0.1235483142747281,7.666666666666667,0.0329670329670329,single_leg
basis_adjusted_model_zscore,basis_valuation,1,0.0780477093807996,8.0,0.0109890109890109,single_leg
breeding_profit_model_zscore,profit_supply_response,1,0.0607765286419534,8.0,0.0109890109890109,single_leg
factor_seasonal_demand_calendar_model_zscore,seasonal_demand_calendar,80,0.2022346033453287,2.4625,0.8791208791208791,calendar_spread
laying_hen_stock_model_zscore,supply_pressure,78,0.193927593120131,2.602564102564102,0.8571428571428571,calendar_spread
winter_laying_stress_model_zscore,weather_laying_cycle,72,0.0861135755890079,7.458333333333333,0.7912087912087912,calendar_spread
empty_house_rate_model_zscore,capacity_gap,64,0.3156003946412845,1.0,0.7032967032967034,calendar_spread
flow_inventory_days_model_zscore,inventory,64,0.0944384699682038,6.671875,0.7032967032967034,calendar_spread
factor_basis_valuation_model_zscore,basis_valuation,57,0.1322603120646578,5.9298245614035086,0.6263736263736264,calendar_spread
factor_cost_support_model_zscore,cost_support,50,0.1537878537581308,5.2,0.5494505494505495,calendar_spread
breeding_profit_model_zscore,profit_supply_response,45,0.0870889250511807,7.266666666666667,0.4945054945054945,calendar_spread
feed_egg_ratio_model_zscore,profit_supply_response,44,0.1009760157668375,7.090909090909091,0.4835164835164835,calendar_spread
basis_adjusted_model_zscore,basis_valuation,33,0.1340250158087638,5.2727272727272725,0.3626373626373626,calendar_spread
pullet_share_model_zscore,forward_supply,30,0.1331080736367337,4.9,0.3296703296703296,calendar_spread
breeding_cost_model_zscore,cost_support,29,0.1095010961505068,6.724137931034483,0.3186813186813186,calendar_spread
culled_hen_output_model_zscore,elimination,28,0.1060857504582458,5.392857142857143,0.3076923076923077,calendar_spread
factor_elimination_model_zscore,elimination,28,0.0725997599186756,8.678571428571429,0.3076923076923077,calendar_spread
factor_capacity_gap_model_zscore,capacity_gap,27,0.3295472713774711,1.0,0.2967032967032967,calendar_spread
factor_forward_supply_model_zscore,forward_supply,27,0.0839633792123184,8.11111111111111,0.2967032967032967,calendar_spread
prod_inventory_days_model_zscore,inventory,23,0.092791696921774,7.304347826086956,0.2527472527472527,calendar_spread
summer_laying_stress_model_zscore,weather_laying_cycle,19,0.1136275964231779,6.0,0.2087912087912088,calendar_spread
egg_sales_model_zscore,real_demand,15,0.0912217800879502,8.933333333333334,0.1648351648351648,calendar_spread
factor_supply_pressure_model_zscore,supply_pressure,13,0.1704527119027926,3.769230769230769,0.1428571428571428,calendar_spread
spring_festival_demand_model_zscore,seasonal_demand_calendar,11,0.1913633988983081,2.636363636363636,0.1208791208791208,calendar_spread
factor_real_demand_model_zscore,real_demand,9,0.0556763421310779,10.77777777777778,0.0989010989010989,calendar_spread
basis_raw_model_zscore,near_far_strength,3,0.0546082827089609,11.666666666666666,0.0329670329670329,calendar_spread
factor_inventory_model_zscore,inventory,2,0.180631873744649,4.0,0.0219780219780219,calendar_spread
factor_near_far_strength_model_zscore,near_far_strength,1,0.0697965257622654,11.0,0.0109890109890109,calendar_spread
